GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,SwaggerController,4,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,BuildController,10,6,0,0,1,2,1,1,1,1
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,TestController,93,34,20,0,20,5,15,2,5,2
JaCoCo Coverage Report,com.ruoyi.web.controller.tool,UserEntity,31,15,0,0,14,6,9,1,9,1
JaCoCo Coverage Report,com.ruoyi.web.core.config,SwaggerConfig,0,46,0,0,0,14,0,3,0,3
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysDictDataController,98,6,0,0,17,2,8,1,8,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysProfileController,272,32,20,0,49,6,17,3,7,3
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysRegisterController,28,3,4,0,5,1,4,1,2,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysLoginController,20,42,3,1,7,9,3,3,1,3
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysNoticeController,96,6,0,0,14,2,8,1,8,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysMenuController,215,6,10,0,40,2,17,1,12,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysCaptchaController,21,87,4,2,7,26,3,2,0,2
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysDictTypeController,191,6,4,0,31,2,15,1,13,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysIndexController,78,205,22,14,22,35,21,7,4,6
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysPostController,185,6,8,0,27,2,14,1,10,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysConfigController,142,6,4,0,23,2,12,1,10,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysUserController,455,153,30,6,63,26,32,11,15,10
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysRoleController,386,6,10,0,59,2,27,1,22,1
JaCoCo Coverage Report,com.ruoyi.web.controller.system,SysDeptController,246,6,20,0,41,2,20,1,10,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.domain,CustomerModel,76,0,0,0,27,0,14,0,14,0
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.domain,UserOperateModel,66,30,0,0,29,11,19,1,19,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.domain,GoodsModel,65,0,0,0,23,0,12,0,12,0
JaCoCo Coverage Report,com.ruoyi.web.controller.common,CommonController,208,57,6,2,45,14,7,3,3,3
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DocumentModel,38,18,0,0,17,7,11,1,11,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoOperateController,518,427,36,0,91,30,33,2,15,2
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,UserTableModel,66,30,0,0,29,11,19,1,19,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,UserTableColumn,17,9,0,0,8,4,5,1,5,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoDialogController,90,6,0,0,9,2,9,1,9,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoIconController,20,6,0,0,2,2,2,1,2,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,AreaModel,56,32,0,0,23,10,15,1,15,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoFormController,486,61,0,0,83,9,25,2,25,2
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoReportController,40,6,0,0,4,2,4,1,4,1
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,DemoTableController,859,1197,66,0,132,96,71,2,38,2
JaCoCo Coverage Report,com.ruoyi.web.controller.demo.controller,UserFormModel,31,15,0,0,14,6,9,1,9,1
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,SysUserOnlineController,90,6,8,0,18,2,7,1,3,1
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,DruidController,12,6,0,0,1,2,1,1,1,1
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,SysLogininforController,56,6,0,0,12,2,6,1,6,1
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,ServerController,21,6,0,0,4,2,1,1,1,1
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,CacheController,110,6,0,0,17,2,7,1,7,1
JaCoCo Coverage Report,com.ruoyi.web.controller.monitor,SysOperlogController,67,6,0,0,12,2,6,1,6,1
JaCoCo Coverage Report,com.ruoyi,RuoYiServletInitializer,12,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.ruoyi,RuoYiApplication,0,11,0,0,0,4,0,2,0,2
